"Park","Wtd. average distance","Change (%)","Area (km2)","Longitude","Lattitude"
"Tynedale Park","3.91","-0.144","0.13","-2.011","54.966"
"unnamed","3.9","-0.143","0.11","-3.015","53.326"
"Ampthill Park","3.9","-0.143","0.63","-0.502","52.035"
"Woolten Woods And Ca...","3.89","-0.143","0.21","-2.868","53.369"
"Broome Heath","3.89","-0.143","0.29","1.455","52.47"
"Manor Park","3.88","-0.141","0.15","-3.235","50.726"
"Waldershare Park","3.87","-0.142","0.25","1.277","51.188"
"The Edge","3.87","-0.142","0.17","-0.746","51.095"
"Haden Hill Park","3.86","-0.139","0.37","-2.063","52.463"
"Cusworth Park","3.86","-0.139","0.22","-1.175","53.528"
"Marl Pits Sports Com...","3.85","-0.139","0.17","-2.269","53.705"
"Bowness Gardens","3.85","-0.138","0.14","-2.606","51.497"
"Astley Park","3.84","-0.138","0.45","-2.642","53.658"
"unnamed","3.84","-0.136","0.14","-1.895","50.747"
"unnamed","3.83","-0.133","0.14","-1.678","54.986"
"Church Green","3.83","-0.132","0.15","1.041","52.48"
"Clee Fields","3.82","-0.132","0.17","-0.057","53.555"
"King Edward VII Park","3.82","-0.13","0.10","-0.294","51.557"
"Birchall Playing Fie...","3.81","-0.129","0.12","-2.024","53.093"
"unnamed","3.81","-0.127","0.15","0.352","51.419"
"Knights Grange Sport...","3.8","-0.127","0.77","-2.544","53.2"
"Saltburn Valley","3.8","-0.127","0.23","-0.97","54.579"
"Sunnyhill Park","3.79","-0.126","0.22","-0.228","51.596"
"unnamed","3.79","-0.126","0.34","-2.377","53.446"
"Mote Park","3.78","-0.126","1.75","0.547","51.263"
"New Park","3.78","-0.126","0.18","-1.666","53.568"
"Upton Meadow","3.77","-0.126","0.16","-3.104","53.38"
"unnamed","3.77","-0.125","0.11","-0.269","51.393"
"Sullington Warren","3.76","-0.125","0.26","-0.439","50.919"
"Calthorpe Park","3.76","-0.125","0.14","-0.85","51.277"
"Butterley Park","3.75","-0.125","0.94","-1.38","53.054"
"Kings' Park","3.75","-0.125","0.10","-0.946","53.321"
"Montreal Park","3.75","-0.124","0.18","0.166","51.277"
"Parsloes Park","3.74","-0.124","0.60","0.135","51.544"
"Barton's Point","3.74","-0.123","0.31","0.79","51.436"
"Yeovil Recreation Ce...","3.73","-0.122","0.17","-2.638","50.953"
"Hall Park","3.73","-0.123","0.14","-0.598","52.285"
"Leegomery Pools","3.72","-0.122","0.11","-2.496","52.708"
"The Park","3.72","-0.122","1.23","-0.925","54.121"
"unnamed","3.71","-0.121","0.12","-1.45","54.951"
"Stanmore Country Par...","3.71","-0.121","0.16","-2.378","52.531"
"Lyme and Wood Pits C...","3.7","-0.12","0.99","-2.653","53.462"
"Heacham Park","3.7","-0.12","0.18","0.497","52.914"
"Paddington Recreatio...","3.7","-0.12","0.11","-0.189","51.53"
"Beacon Park","3.69","-0.12","0.29","-1.837","52.684"
"unnamed","3.69","-0.12","0.12","-1.839","52.481"
"Queen's Park","3.68","-0.12","0.20","-2.443","53.579"
"Seaton Valley Countr...","3.68","-0.12","0.58","-4.387","50.375"
"Chennell Park","3.67","-0.12","0.20","0.676","51.073"
"Southrepps Common","3.67","-0.12","0.11","1.361","52.865"
"Test Park","3.66","-0.119","0.14","-1.468","50.928"
"Jubilee Meadows","3.66","-0.119","0.16","-1.681","54.706"
"Tiptree Heath","3.66","-0.119","0.21","0.731","51.799"
"Plumstead Common","3.65","-0.119","0.38","0.099","51.481"
"Marston Park","3.65","-0.119","0.93","-2.341","51.202"
"unnamed","3.64","-0.119","0.13","-0.164","50.946"
"Mill Green Nature Pa...","3.64","-0.118","0.28","-2.015","52.689"
"Knighton Park","3.63","-0.118","0.34","-1.106","52.599"
"Sluice Common","3.63","-0.115","0.12","0.367","52.583"
"The Lawn","3.63","-0.114","0.36","-1.766","51.551"
"American Garden","3.62","-0.114","0.25","-0.769","51.337"
"Streatlam Park","3.62","-0.112","0.35","-1.863","54.57"
"unnamed","3.61","-0.111","0.15","-0.368","53.776"
"The Park","3.61","-0.111","0.13","-0.756","53.93"
"Sports Centre and Me...","3.61","-0.111","0.11","-0.472","52.656"
"unnamed","3.6","-0.11","0.15","-1.29","53.599"
"Howe Bridge Leisure ...","3.6","-0.109","0.18","-2.502","53.514"
"unnamed","3.59","-0.109","0.14","-0.034","52.046"
"Jubilee Park","3.59","-0.109","0.11","-0.994","53.582"
"Wincombe Park","3.59","-0.109","0.18","-2.171","51.016"
"Daisy Farm Park","3.58","-0.108","0.11","-1.873","52.405"
"Oare Gunpowder Works...","3.58","-0.107","0.16","0.875","51.325"
"unnamed","3.57","-0.107","0.10","-0.161","52.674"
"unnamed","3.57","-0.107","0.10","-1.669","50.747"
"Chafford Gorges Natu...","3.57","-0.107","0.26","0.302","51.488"
"Caythorpe Court","3.56","-0.106","0.20","-0.571","53.022"
"unnamed","3.56","-0.106","0.88","-2.218","51.733"
"American Gardens","3.56","-0.105","0.13","-4.763","50.503"
"Allesley Park Golf C...","3.55","-0.105","0.12","-1.555","52.419"
"Lammas Lands","3.55","-0.105","0.30","-0.601","51.189"
"unnamed","3.54","-0.104","0.11","-3.051","53.564"
"unnamed","3.54","-0.104","0.13","-0.332","51.29"
"Brockhill Country Pa...","3.54","-0.104","0.22","1.067","51.08"
"West Ham Park","3.53","-0.103","0.26","0.02","51.539"
"Wassand Park","3.53","-0.103","0.42","-0.218","53.898"
"Humberstone Park","3.53","-0.103","0.12","-1.083","52.639"
"Millbrook Park Mille...","3.52","-0.103","0.15","-2.891","53.487"
"Berrington Park","3.52","-0.103","1.10","-2.719","52.265"
"Lily Hill Park","3.52","-0.103","0.24","-0.724","51.414"
"Naworth Parks","3.51","-0.103","2.98","-2.684","54.957"
"unnamed","3.51","-0.103","0.11","-0.2","53.615"
"Bennett's Park","3.5","-0.103","0.24","0.631","51.964"
"Little Stoke Park","3.5","-0.103","0.12","-2.56","51.528"
"Longdales Park","3.5","-0.103","0.13","-0.478","53.26"
"Southbury Leisure Ce...","3.49","-0.103","0.38","-0.062","51.655"
"Hatch Grange","3.49","-0.103","0.15","-1.336","50.93"
"Elmers Green Common","3.49","-0.102","0.22","-2.762","53.552"
"Kilburn Park","3.48","-0.102","0.22","-1.24","54.209"
"Murton Recreation Gr...","3.48","-0.102","0.13","-1.389","54.812"
"Norbury Park","3.48","-0.102","0.11","-0.117","51.413"
"Fairbank Plantation","3.47","-0.102","0.11","-2.599","54.207"
"Sandbach United Foot...","3.47","-0.101","0.10","-2.382","53.138"
"Shobrooke Park","3.47","-0.1","0.75","-3.626","50.799"
"Tadley Common","3.46","-0.1","0.36","-1.127","51.356"
"Riverside Garden Par...","3.46","-0.1","0.11","-0.167","51.163"
"unnamed","3.45","-0.1","0.11","-2.734","53.796"
"unnamed","3.45","-0.099","0.10","-1.999","51.427"
"Mary Stevens Park","3.45","-0.099","0.12","-2.149","52.448"
"Harvey Hadden Sports...","3.44","-0.098","0.17","-1.218","52.967"
"unnamed","3.44","-0.098","0.11","-2.82","54.064"
"Colemere","3.44","-0.098","0.49","-2.842","52.893"
"Highmoor Park","3.43","-0.098","0.34","-3.141","54.818"
"Lido Park Droitwich","3.43","-0.098","0.15","-2.143","52.263"
"unnamed","3.43","-0.098","0.13","0.014","50.867"
"unnamed","3.42","-0.098","0.22","-2.296","53.497"
"Holywells Park","3.42","-0.098","0.18","1.174","52.047"
"Odd Down Sports Grou...","3.42","-0.097","0.17","-2.373","51.361"
"St Helen's Wood","3.41","-0.097","0.40","0.58","50.878"
"Anstey Park","3.41","-0.097","0.19","-0.962","51.16"
"unnamed","3.41","-0.097","0.12","-0.407","51.561"
"Langdon Hills Countr...","3.4","-0.097","1.71","0.436","51.545"
"Bexhill Down","3.4","-0.096","0.16","0.464","50.847"
